epoch,train_loss,val_loss,best_epoch_so_far,epochs_without_improvement,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_qwk,train_total_errors,train_adjacent_errors,train_distant_errors,train_total_error_rate,train_adjacent_error_rate,train_distant_error_rate,val_accuracy,val_macro_f1,val_weighted_f1,val_mae,val_qwk,val_total_errors,val_adjacent_errors,val_distant_errors,val_total_error_rate,val_adjacent_error_rate,val_distant_error_rate
1,1.4263423485681415,1.2130049777357546,0,0,0.3974609375,0.2375997625157454,0.32269133080998114,1.13671875,0.20598699980947233,617,300,317,0.6025390625,0.29296875,0.3095703125,0.4657534246575342,0.2860050002907146,0.3748254716943562,0.9452054794520548,0.42897371714643295,78,39,39,0.5342465753424658,0.2671232876712329,0.2671232876712329
2,0.9767830213531852,0.7706052963047811,1,0,0.6474609375,0.5479487638953404,0.6039260833265396,0.5048828125,0.7724890447902586,361,252,109,0.3525390625,0.24609375,0.1064453125,0.6986301369863014,0.5926090766971435,0.6583802630443291,0.4315068493150685,0.8085056990969659,44,31,13,0.3013698630136986,0.21232876712328766,0.08904109589041095
3,0.7424786575138569,0.773089053696149,2,0,0.7353515625,0.6905299770712023,0.7223133847447147,0.353515625,0.8544272155159582,271,205,66,0.2646484375,0.2001953125,0.064453125,0.684931506849315,0.667515898358838,0.6717474642097296,0.3835616438356164,0.8523164070402589,46,38,8,0.3150684931506849,0.2602739726027397,0.0547945205479452
4,0.582812117645517,0.8511578613152243,3,0,0.7783203125,0.7625990767911507,0.7736934595779337,0.2880859375,0.8849541839515082,227,173,54,0.2216796875,0.1689453125,0.052734375,0.678082191780822,0.6365963743747167,0.6383147643171048,0.4315068493150685,0.8439620644572188,47,35,12,0.3219178082191781,0.23972602739726026,0.0821917808219178
5,0.5234925567638129,1.1907826883029449,3,1,0.7958984375,0.7880140226952027,0.7923965216425062,0.263671875,0.8979452199195415,209,160,49,0.2041015625,0.15625,0.0478515625,0.6232876712328768,0.5802186881921227,0.5891310653981237,0.5,0.7858829140336234,55,44,11,0.3767123287671233,0.3013698630136986,0.07534246575342465
6,0.5439834252465516,0.6538654876081911,3,2,0.80078125,0.7841158482041882,0.7966034102060146,0.2646484375,0.8938133093803011,204,152,52,0.19921875,0.1484375,0.05078125,0.7465753424657534,0.7115295849003714,0.732165589299651,0.3424657534246575,0.8458909273686855,37,28,9,0.2534246575342466,0.1917808219178082,0.06164383561643835
7,0.4283990217372775,0.6644036515475544,3,3,0.841796875,0.826826846001136,0.8386161573841576,0.1962890625,0.9287548762907545,162,128,34,0.158203125,0.125,0.033203125,0.7808219178082192,0.7612813852813853,0.772033446006049,0.2671232876712329,0.9054081702243743,32,27,5,0.2191780821917808,0.18493150684931506,0.03424657534246575
8,0.37702356558293104,0.5825863168255924,7,0,0.8681640625,0.8626413310398451,0.867373713563667,0.1826171875,0.921132712868954,135,96,39,0.1318359375,0.09375,0.0380859375,0.7945205479452054,0.7658316998399078,0.7821231339418099,0.273972602739726,0.8897180003662333,30,23,7,0.2054794520547945,0.15753424657534246,0.04794520547945205
9,0.3358701542019844,0.5730154382141486,7,1,0.8779296875,0.8715515424864926,0.8771453081505727,0.158203125,0.9397252064065318,125,91,34,0.1220703125,0.0888671875,0.033203125,0.7945205479452054,0.7764419548624221,0.7903547772047018,0.2465753424657534,0.9092690855203404,30,26,4,0.2054794520547945,0.1780821917808219,0.0273972602739726
10,0.29621790279634297,0.7185334536591417,9,0,0.88671875,0.8853828862947143,0.8859708847457891,0.1494140625,0.9394703068032658,116,87,29,0.11328125,0.0849609375,0.0283203125,0.7534246575342466,0.7346229135108633,0.7454583747716569,0.3424657534246575,0.8546153489880043,36,26,10,0.2465753424657534,0.1780821917808219,0.0684931506849315
