epoch,train_loss,val_loss,best_epoch_so_far,epochs_without_improvement,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_qwk,train_total_errors,train_adjacent_errors,train_distant_errors,train_total_error_rate,train_adjacent_error_rate,train_distant_error_rate,val_accuracy,val_macro_f1,val_weighted_f1,val_mae,val_qwk,val_total_errors,val_adjacent_errors,val_distant_errors,val_total_error_rate,val_adjacent_error_rate,val_distant_error_rate
1,0.17214242764748633,0.5528610805942588,0,0,0.9365234375,0.9369720700512701,0.9366856537175574,0.0791015625,0.9711860408895918,65,50,15,0.0634765625,0.048828125,0.0146484375,0.815068493150685,0.7888695315524583,0.8108967219809184,0.23972602739726026,0.9052686218531015,27,21,6,0.18493150684931506,0.14383561643835616,0.0410958904109589
2,0.19040918559767306,0.6994579228228086,1,0,0.9345703125,0.9290383773903084,0.9341195055257623,0.1005859375,0.9516740659884526,67,40,27,0.0654296875,0.0390625,0.0263671875,0.8082191780821918,0.7797984773846843,0.7957459404081982,0.2671232876712329,0.8830698516609792,28,21,7,0.1917808219178082,0.14383561643835616,0.04794520547945205
3,0.1390741403447464,0.6651248241940589,1,1,0.9501953125,0.9485995646803943,0.9504134426121817,0.0732421875,0.9666288012812156,51,32,19,0.0498046875,0.03125,0.0185546875,0.821917808219178,0.8108163495653844,0.8122657222768492,0.2328767123287671,0.9067135228880471,26,21,5,0.1780821917808219,0.14383561643835616,0.03424657534246575
4,0.1295550181530416,0.5026613465727192,3,0,0.9609375,0.9573432918525816,0.9609917173748889,0.05859375,0.9724652050540429,40,25,15,0.0390625,0.0244140625,0.0146484375,0.8424657534246576,0.8252486402486403,0.8378910853225922,0.21232876712328766,0.9134125636672326,23,17,6,0.15753424657534246,0.11643835616438356,0.0410958904109589
5,0.12655103777069598,0.5388759080677816,4,0,0.9609375,0.9585968948395932,0.9608645199294826,0.0478515625,0.9822003382484138,40,33,7,0.0390625,0.0322265625,0.0068359375,0.8013698630136986,0.78236029675375,0.7969387526561503,0.2602739726027397,0.894356005788712,29,23,6,0.19863013698630136,0.15753424657534246,0.0410958904109589
6,0.11278584942920133,0.594374610544884,4,1,0.966796875,0.9690187586518849,0.9668695414570012,0.04296875,0.9834400023522724,34,25,9,0.033203125,0.0244140625,0.0087890625,0.8082191780821918,0.7995074559514709,0.8070411766736504,0.23972602739726026,0.9075176287797299,28,23,5,0.1917808219178082,0.15753424657534246,0.03424657534246575
7,0.0930048709269613,0.7560185924784778,4,2,0.9677734375,0.9669286839084343,0.9677838197369906,0.04296875,0.9830291686164405,33,23,10,0.0322265625,0.0224609375,0.009765625,0.7808219178082192,0.7735170910469451,0.7796350155058419,0.2602739726027397,0.9038348946135831,32,28,4,0.2191780821917808,0.1917808219178082,0.0273972602739726
8,0.12412868166575208,0.5967734733672991,4,3,0.9609375,0.9590531595128656,0.9609978470187085,0.0517578125,0.9796965646892946,40,28,12,0.0390625,0.02734375,0.01171875,0.8424657534246576,0.8257870773999805,0.8404050158358598,0.2054794520547945,0.9176614343453332,23,18,5,0.15753424657534246,0.1232876712328767,0.03424657534246575
9,0.10033739640493877,0.6946935784326841,8,0,0.96875,0.9666487472628486,0.9687884117351475,0.0439453125,0.9806992034700701,32,22,10,0.03125,0.021484375,0.009765625,0.8356164383561644,0.8136946422259254,0.8273667888980429,0.21232876712328766,0.9143992150668868,24,19,5,0.1643835616438356,0.13013698630136986,0.03424657534246575
10,0.08785652316873893,0.638969360965572,8,1,0.9697265625,0.968468986259935,0.9698399928779189,0.044921875,0.9799366358205505,31,18,13,0.0302734375,0.017578125,0.0126953125,0.8287671232876712,0.802184030060227,0.8213504873263272,0.2328767123287671,0.9021447721179625,25,19,6,0.17123287671232876,0.13013698630136986,0.0410958904109589
