epoch,train_loss,val_loss,best_epoch_so_far,epochs_without_improvement,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_qwk,train_total_errors,train_adjacent_errors,train_distant_errors,train_total_error_rate,train_adjacent_error_rate,train_distant_error_rate,val_accuracy,val_macro_f1,val_weighted_f1,val_mae,val_qwk,val_total_errors,val_adjacent_errors,val_distant_errors,val_total_error_rate,val_adjacent_error_rate,val_distant_error_rate
1,0.14710904718958773,0.8864321211410354,0,0,0.9482421875,0.9442643986771888,0.9482749802616643,0.0712890625,0.9703345638750476,53,36,17,0.0517578125,0.03515625,0.0166015625,0.7808219178082192,0.7872739432851792,0.7775585068566445,0.23972602739726026,0.92492406304561,32,30,2,0.2191780821917808,0.2054794520547945,0.0136986301369863
2,0.10106951123452745,0.757430777180149,1,0,0.9609375,0.9571314409274121,0.9609573925958521,0.0498046875,0.9812271021978957,40,30,10,0.0390625,0.029296875,0.009765625,0.7808219178082192,0.7612120490448663,0.7738435914143111,0.2465753424657534,0.9207869409322513,32,29,3,0.2191780821917808,0.19863013698630136,0.02054794520547945
3,0.10493516697897576,0.9093444052268751,1,1,0.9619140625,0.9608573036835297,0.9619911338358182,0.056640625,0.9734307747138051,39,25,14,0.0380859375,0.0244140625,0.013671875,0.8082191780821918,0.8166493296347666,0.8067783440680434,0.2191780821917808,0.9243523316062177,28,25,3,0.1917808219178082,0.17123287671232876,0.02054794520547945
4,0.0939913603651803,0.8246651542291671,1,2,0.96484375,0.9681432290521765,0.9648740812301188,0.044921875,0.9829464411667894,36,27,9,0.03515625,0.0263671875,0.0087890625,0.8287671232876712,0.8249276195265635,0.8235541906733449,0.19863013698630136,0.930351616131059,25,23,2,0.17123287671232876,0.15753424657534246,0.0136986301369863
5,0.10055766445293557,0.7862079167644468,4,0,0.966796875,0.9650728431691267,0.9667834943514866,0.0498046875,0.9772429995555273,34,20,14,0.033203125,0.01953125,0.013671875,0.7876712328767124,0.7833765138508972,0.7845132048454032,0.2465753424657534,0.9135890151515151,31,28,3,0.21232876712328766,0.1917808219178082,0.02054794520547945
6,0.09394030088878935,0.876652020929949,4,1,0.97265625,0.9698907475580392,0.9726072665976919,0.0380859375,0.984287210463502,28,18,10,0.02734375,0.017578125,0.009765625,0.821917808219178,0.8366325320239666,0.8233318935020066,0.2191780821917808,0.9109321620302586,26,23,3,0.1780821917808219,0.15753424657534246,0.02054794520547945
7,0.07659156373847509,0.869420252303427,4,2,0.97265625,0.9710969222217702,0.9726461090683994,0.04296875,0.9794545753501883,28,15,13,0.02734375,0.0146484375,0.0126953125,0.7945205479452054,0.7855790335790336,0.7899439040534931,0.2191780821917808,0.9359773923211849,30,28,2,0.2054794520547945,0.1917808219178082,0.0136986301369863
8,0.106400353321078,0.839232442607108,7,0,0.958984375,0.953950693798299,0.9591369519730761,0.0498046875,0.9821581247969279,42,34,8,0.041015625,0.033203125,0.0078125,0.7671232876712328,0.7588847097833331,0.7585159041757186,0.3082191780821918,0.8828250401284109,34,26,8,0.2328767123287671,0.1780821917808219,0.0547945205479452
9,0.09347354550482123,0.8578668587700757,7,1,0.9609375,0.9573902120553528,0.9610814491714164,0.0517578125,0.979757452578494,40,28,12,0.0390625,0.02734375,0.01171875,0.7945205479452054,0.7789761687791492,0.7844467899307912,0.2328767123287671,0.9236837103212316,30,27,3,0.2054794520547945,0.18493150684931506,0.02054794520547945
10,0.11001072086946806,0.9280496654132611,7,2,0.9501953125,0.9516049627257278,0.9502099831556606,0.0712890625,0.9686642244346585,51,33,18,0.0498046875,0.0322265625,0.017578125,0.7876712328767124,0.7923057314193777,0.7773291234782997,0.2534246575342466,0.9134238850723891,31,27,4,0.21232876712328766,0.18493150684931506,0.0273972602739726
