epoch,train_loss,val_loss,best_epoch_so_far,epochs_without_improvement,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_qwk,train_total_errors,train_adjacent_errors,train_distant_errors,train_total_error_rate,train_adjacent_error_rate,train_distant_error_rate,val_accuracy,val_macro_f1,val_weighted_f1,val_mae,val_qwk,val_total_errors,val_adjacent_errors,val_distant_errors,val_total_error_rate,val_adjacent_error_rate,val_distant_error_rate
1,0.0851686104433611,0.6266074278583266,0,0,0.9716796875,0.9712831387358072,0.9717247706874902,0.037109375,0.9854608408193161,29,21,8,0.0283203125,0.0205078125,0.0078125,0.8561643835616438,0.8431044215833892,0.8497270934904941,0.2191780821917808,0.899027156623173,21,13,8,0.14383561643835616,0.08904109589041095,0.0547945205479452
2,0.06902590589015745,0.5834617194247572,1,0,0.9814453125,0.9801384169206871,0.9814926930835761,0.0302734375,0.9857325976704007,19,8,11,0.0185546875,0.0078125,0.0107421875,0.8013698630136986,0.7734972864444971,0.7918203299215568,0.2808219178082192,0.8773786787546883,29,21,8,0.19863013698630136,0.14383561643835616,0.0547945205479452
3,0.06367195889470167,0.6345836997848667,1,1,0.9765625,0.9742622197925506,0.9765312164274956,0.0400390625,0.9797357715036241,24,10,14,0.0234375,0.009765625,0.013671875,0.863013698630137,0.8363965494073149,0.8522548093190795,0.2054794520547945,0.905146410506288,20,13,7,0.136986301369863,0.08904109589041095,0.04794520547945205
4,0.06136874805088155,0.5269243209941746,3,0,0.9794921875,0.9763664617325951,0.9795491427538259,0.03125,0.9854527783547374,21,12,9,0.0205078125,0.01171875,0.0087890625,0.8356164383561644,0.8170323793853205,0.8327124437922182,0.22602739726027396,0.9002108384884502,24,19,5,0.1643835616438356,0.13013698630136986,0.03424657534246575
5,0.07943443331168965,0.540804240393312,3,1,0.970703125,0.9684380745991387,0.9707222509971619,0.0390625,0.9840134574215845,30,22,8,0.029296875,0.021484375,0.0078125,0.815068493150685,0.7891526199314052,0.8070309190786012,0.2602739726027397,0.885273181103818,27,20,7,0.18493150684931506,0.136986301369863,0.04794520547945205
6,0.08151339272444602,0.6365520884729412,3,2,0.96875,0.969462762214196,0.9688013327862082,0.0439453125,0.9817002296284328,32,20,12,0.03125,0.01953125,0.01171875,0.815068493150685,0.7911894679226802,0.8054487502017521,0.2602739726027397,0.8872074528516246,27,20,7,0.18493150684931506,0.136986301369863,0.04794520547945205
7,0.07036889172741212,0.6479519285159568,3,3,0.97265625,0.9738890491219762,0.9726552153728731,0.0390625,0.9824953845252166,28,19,9,0.02734375,0.0185546875,0.0087890625,0.8082191780821918,0.795544545913903,0.807095760190601,0.2602739726027397,0.8917616532295431,28,21,7,0.1917808219178082,0.14383561643835616,0.04794520547945205
8,0.07489845564123243,0.5935078940979422,3,4,0.9736328125,0.9728938918407601,0.973620282744783,0.033203125,0.9874473622789314,27,21,6,0.0263671875,0.0205078125,0.005859375,0.8287671232876712,0.8072802912250363,0.8242304662596145,0.22602739726027396,0.9063032367972743,25,20,5,0.17123287671232876,0.136986301369863,0.03424657534246575
9,0.0840072677237913,0.5815702468565066,8,0,0.97265625,0.9717581319559365,0.9727867134848922,0.0341796875,0.9876868107328134,28,21,7,0.02734375,0.0205078125,0.0068359375,0.8013698630136986,0.792457757296467,0.8050407171264441,0.2465753424657534,0.9020182938954067,29,24,5,0.19863013698630136,0.1643835616438356,0.03424657534246575
10,0.061730195535346866,0.6260155013775173,8,1,0.9794921875,0.9786738073358741,0.9795341679754619,0.0283203125,0.9881942802308159,21,14,7,0.0205078125,0.013671875,0.0068359375,0.821917808219178,0.8044949494949494,0.8143005396430053,0.2328767123287671,0.9110077659382337,26,20,6,0.1780821917808219,0.136986301369863,0.0410958904109589
