epoch,train_loss,val_loss,best_epoch_so_far,epochs_without_improvement,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_qwk,train_total_errors,train_adjacent_errors,train_distant_errors,train_total_error_rate,train_adjacent_error_rate,train_distant_error_rate,val_accuracy,val_macro_f1,val_weighted_f1,val_mae,val_qwk,val_total_errors,val_adjacent_errors,val_distant_errors,val_total_error_rate,val_adjacent_error_rate,val_distant_error_rate
1,0.1793462682981044,0.6657919567333509,0,0,0.951171875,0.9470195445456971,0.9512522930862614,0.0625,0.976472336614535,50,37,13,0.048828125,0.0361328125,0.0126953125,0.8013698630136986,0.790969241486483,0.8036297809679953,0.2465753424657534,0.9061205048821148,29,24,5,0.19863013698630136,0.1643835616438356,0.03424657534246575
2,0.15670766157563776,0.6841036697773084,1,0,0.962890625,0.9596015356070101,0.9630284964127769,0.048828125,0.9809093941951057,38,27,11,0.037109375,0.0263671875,0.0107421875,0.815068493150685,0.8098652608857636,0.8131373602157773,0.2328767123287671,0.9111298403333802,27,22,5,0.18493150684931506,0.1506849315068493,0.03424657534246575
3,0.18907252012286335,0.6037256656444236,2,0,0.9443359375,0.9444444977920335,0.9444921141500033,0.0673828125,0.976209505046187,57,46,11,0.0556640625,0.044921875,0.0107421875,0.8287671232876712,0.8124444986706116,0.8234444164260439,0.21232876712328766,0.9227585882574243,25,20,5,0.17123287671232876,0.136986301369863,0.03424657534246575
4,0.13955676066689193,0.6504719408407603,3,0,0.955078125,0.9490179322021021,0.9550742187544136,0.0615234375,0.9746793544097154,46,31,15,0.044921875,0.0302734375,0.0146484375,0.8287671232876712,0.8244922005841344,0.8276161874087973,0.21232876712328766,0.9193825042881647,25,21,4,0.17123287671232876,0.14383561643835616,0.0273972602739726
5,0.16389968991279602,0.8159264875958635,3,1,0.943359375,0.9383022843673137,0.9435281444829267,0.080078125,0.9642241345374095,58,40,18,0.056640625,0.0390625,0.017578125,0.8013698630136986,0.7829724319088982,0.7960522279118075,0.2808219178082192,0.8855184858965821,29,21,8,0.19863013698630136,0.14383561643835616,0.0547945205479452
6,0.15061054774560034,0.6936910993432346,3,2,0.955078125,0.9514143353446108,0.9550875157466652,0.0546875,0.9809861481118081,46,36,10,0.044921875,0.03515625,0.009765625,0.7945205479452054,0.7788633915104504,0.7916575903280174,0.2808219178082192,0.8904321333363202,30,21,9,0.2054794520547945,0.14383561643835616,0.06164383561643835
7,0.13358852046076208,0.7120260669760508,3,3,0.9609375,0.9593197216878682,0.9612532062359961,0.052734375,0.9789141740992634,40,27,13,0.0390625,0.0263671875,0.0126953125,0.8287671232876712,0.8161851640853268,0.8232903847082634,0.22602739726027396,0.9118136439267887,25,19,6,0.17123287671232876,0.13013698630136986,0.0410958904109589
8,0.12787398602813482,0.6350895456255299,3,4,0.9638671875,0.9657703487745115,0.9639191882465603,0.05078125,0.9780173456881679,37,25,12,0.0361328125,0.0244140625,0.01171875,0.821917808219178,0.7938517423064546,0.8136778179057189,0.21232876712328766,0.924837775064052,26,22,4,0.1780821917808219,0.1506849315068493,0.0273972602739726
9,0.11042844195617363,0.7674059871431083,8,0,0.9697265625,0.9703126266459228,0.969749727516177,0.0458984375,0.9787023506693198,31,18,13,0.0302734375,0.017578125,0.0126953125,0.8424657534246576,0.8323254346783759,0.840575005764369,0.2054794520547945,0.9191061039800535,23,18,5,0.15753424657534246,0.1232876712328767,0.03424657534246575
10,0.09715014943503775,0.6027611245031226,8,1,0.970703125,0.9676309828931966,0.9707840111787023,0.0390625,0.9849516807875287,30,20,10,0.029296875,0.01953125,0.009765625,0.8493150684931506,0.8403243529677255,0.8485459154189307,0.1917808219178082,0.9247916081296245,22,18,4,0.1506849315068493,0.1232876712328767,0.0273972602739726
