epoch,train_loss,val_loss,best_epoch_so_far,epochs_without_improvement,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_qwk,train_total_errors,train_adjacent_errors,train_distant_errors,train_total_error_rate,train_adjacent_error_rate,train_distant_error_rate,val_accuracy,val_macro_f1,val_weighted_f1,val_mae,val_qwk,val_total_errors,val_adjacent_errors,val_distant_errors,val_total_error_rate,val_adjacent_error_rate,val_distant_error_rate
1,0.30078726587817073,0.6041254501228464,0,0,0.9013671875,0.8981162713863743,0.9011005068211079,0.1328125,0.9446475704420831,101,74,27,0.0986328125,0.072265625,0.0263671875,0.7671232876712328,0.728795556411326,0.7507414284832975,0.3424657534246575,0.8541426161086938,34,22,12,0.2328767123287671,0.1506849315068493,0.0821917808219178
2,0.25756571744568646,0.5801261789994697,1,0,0.9072265625,0.9100984980369944,0.9065831366347589,0.12109375,0.9529207706126495,95,70,25,0.0927734375,0.068359375,0.0244140625,0.7671232876712328,0.7463205513476315,0.7590564045763845,0.3013698630136986,0.8795776971296602,34,27,7,0.2328767123287671,0.18493150684931506,0.04794520547945205
3,0.2510277898982167,0.7320921849714567,2,0,0.91796875,0.9153179014045619,0.9178367201054647,0.111328125,0.9541980576180346,84,59,25,0.08203125,0.0576171875,0.0244140625,0.7465753424657534,0.7460442773600668,0.743795132809192,0.3356164383561644,0.8650141609905672,37,28,9,0.2534246575342466,0.1917808219178082,0.06164383561643835
4,0.22610766370780766,0.5923320740869601,2,1,0.9140625,0.9081532161328851,0.9132719578932234,0.1279296875,0.9417192623844145,88,54,34,0.0859375,0.052734375,0.033203125,0.8013698630136986,0.7957564566260219,0.801930177898016,0.23972602739726026,0.9100398695179412,29,25,4,0.19863013698630136,0.17123287671232876,0.0273972602739726
5,0.2025709894951433,0.6877939852133189,4,0,0.9296875,0.9311148340730491,0.9299357953286956,0.095703125,0.9593570351960705,72,51,21,0.0703125,0.0498046875,0.0205078125,0.7945205479452054,0.7602541788469983,0.7823606249491144,0.2602739726027397,0.9020496923148106,30,24,6,0.2054794520547945,0.1643835616438356,0.0410958904109589
6,0.1776470465119928,0.496958171259867,4,1,0.93359375,0.9328225373927342,0.9335059650515996,0.09765625,0.9572041994934327,68,40,28,0.06640625,0.0390625,0.02734375,0.8493150684931506,0.828662613981763,0.8485586598381702,0.18493150684931506,0.9316594253342615,22,18,4,0.1506849315068493,0.1232876712328767,0.0273972602739726
7,0.1809257643762976,0.6118944360785288,6,0,0.935546875,0.9332482750467797,0.9351958201627403,0.09765625,0.9535227847285803,66,41,25,0.064453125,0.0400390625,0.0244140625,0.815068493150685,0.8009999999999999,0.8103500761035008,0.2328767123287671,0.9144397562119081,27,21,6,0.18493150684931506,0.14383561643835616,0.0410958904109589
8,0.15844821685459465,0.5787873513078037,6,1,0.9521484375,0.9526250262834063,0.952197731621438,0.056640625,0.9804951999906227,49,41,8,0.0478515625,0.0400390625,0.0078125,0.7945205479452054,0.7840288473613816,0.7904515645742577,0.2671232876712329,0.8974648276497271,30,23,7,0.2054794520547945,0.15753424657534246,0.04794520547945205
9,0.15627864189445972,0.8343135093989438,6,2,0.9453125,0.9396253192930164,0.9453587029433427,0.07421875,0.9689961850774607,56,40,16,0.0546875,0.0390625,0.015625,0.7671232876712328,0.7657240424560962,0.7653531724541753,0.3082191780821918,0.8736814658544101,34,26,8,0.2328767123287671,0.1780821917808219,0.0547945205479452
10,0.11027643218403682,0.5904419209859143,6,3,0.9599609375,0.9561174137484549,0.9599260708893521,0.0556640625,0.9772324129283461,41,26,15,0.0400390625,0.025390625,0.0146484375,0.8013698630136986,0.7902771119234534,0.7980425610207602,0.2465753424657534,0.9076858226780947,29,24,5,0.19863013698630136,0.1643835616438356,0.03424657534246575
11,0.09926639613695443,0.6774054659556036,6,4,0.9658203125,0.9619014863704377,0.9657747830551946,0.0478515625,0.9787442086271553,35,25,10,0.0341796875,0.0244140625,0.009765625,0.7876712328767124,0.7729695591764557,0.7853618275913977,0.2602739726027397,0.9022617510639315,31,26,5,0.21232876712328766,0.1780821917808219,0.03424657534246575
12,0.0899417229811661,0.6854485386650856,6,5,0.9716796875,0.968815561380921,0.9717789589272687,0.0361328125,0.9866952608731039,29,21,8,0.0283203125,0.0205078125,0.0078125,0.8082191780821918,0.7922600402326274,0.7998806385168776,0.2534246575342466,0.9020624417309048,28,21,7,0.1917808219178082,0.14383561643835616,0.04794520547945205
13,0.10903176356805488,0.6455341324414292,6,6,0.9619140625,0.9612275278071902,0.9619372608132479,0.0546875,0.976019343771528,39,25,14,0.0380859375,0.0244140625,0.013671875,0.8424657534246576,0.8319858469703671,0.8388869029947955,0.2054794520547945,0.9144878643051261,23,19,4,0.15753424657534246,0.13013698630136986,0.0273972602739726
