epoch,train_loss,val_loss,best_epoch_so_far,epochs_without_improvement,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_qwk,train_total_errors,train_adjacent_errors,train_distant_errors,train_total_error_rate,train_adjacent_error_rate,train_distant_error_rate,val_accuracy,val_macro_f1,val_weighted_f1,val_mae,val_qwk,val_total_errors,val_adjacent_errors,val_distant_errors,val_total_error_rate,val_adjacent_error_rate,val_distant_error_rate
1,11.393078327178955,7.2295247953232025,0,0,0.37109375,0.29556797710217664,0.3513715279541059,1.0087890625,0.4151997282623441,644,380,264,0.62890625,0.37109375,0.2578125,0.5068493150684932,0.3807702070866134,0.4594307233441463,0.6575342465753424,0.7053324835351604,72,52,20,0.4931506849315068,0.3561643835616438,0.136986301369863
2,5.395832434296608,3.764624987563042,1,0,0.5703125,0.4718784154954198,0.5414973962663927,0.533203125,0.7832180679766443,440,354,86,0.4296875,0.345703125,0.083984375,0.7123287671232876,0.6134487381243807,0.6709040441179406,0.3904109589041096,0.8315643747115828,42,31,11,0.2876712328767123,0.21232876712328766,0.07534246575342465
3,3.7026258781552315,3.5454549070906967,2,0,0.673828125,0.6244950316441619,0.6583871041012033,0.3935546875,0.8558653786422893,334,280,54,0.326171875,0.2734375,0.052734375,0.6917808219178082,0.6078874377331235,0.6497163174380457,0.3972602739726027,0.8508445332364694,45,35,10,0.3082191780821918,0.23972602739726026,0.0684931506849315
4,2.812826342880726,2.90604420557414,3,0,0.7451171875,0.7044702247671469,0.7336705615629693,0.306640625,0.8918270884309621,261,213,48,0.2548828125,0.2080078125,0.046875,0.7465753424657534,0.6759353122012969,0.7122531413706132,0.3082191780821918,0.8960419539320509,37,30,7,0.2534246575342466,0.2054794520547945,0.04794520547945205
5,2.4361444264650345,3.297082000399289,4,0,0.7724609375,0.7338487010740252,0.764672842329069,0.265625,0.9111371126582032,233,197,36,0.2275390625,0.1923828125,0.03515625,0.678082191780822,0.6625648727576137,0.6741983415342238,0.3835616438356164,0.8676021382206949,47,39,8,0.3219178082191781,0.2671232876712329,0.0547945205479452
6,2.1844446398317814,2.6954452526079464,4,1,0.7744140625,0.7495573554639562,0.7707937935778135,0.2607421875,0.911831897976685,231,200,31,0.2255859375,0.1953125,0.0302734375,0.7534246575342466,0.7126506899055919,0.7362799812974403,0.3082191780821918,0.8909694821551974,36,29,7,0.2465753424657534,0.19863013698630136,0.04794520547945205
7,1.7280338015407324,3.577356952510468,4,2,0.826171875,0.8092698284764275,0.8247680625708633,0.205078125,0.9302593480494411,178,149,29,0.173828125,0.1455078125,0.0283203125,0.6575342465753424,0.6632231597495785,0.6588009297442854,0.4178082191780822,0.8450549712623119,50,42,8,0.3424657534246575,0.2876712328767123,0.0547945205479452
8,1.5823642872273922,2.4683652316054254,4,3,0.8427734375,0.8288928777252498,0.8404616256391493,0.181640625,0.9396307607155595,161,139,22,0.1572265625,0.1357421875,0.021484375,0.7876712328767124,0.7520837307896132,0.775278582369638,0.273972602739726,0.8942375099312988,31,24,7,0.21232876712328766,0.1643835616438356,0.04794520547945205
9,1.528085463680327,2.590134717013738,4,4,0.8505859375,0.8430932268867426,0.8494330681399442,0.1728515625,0.942626903147002,153,132,21,0.1494140625,0.12890625,0.0205078125,0.7123287671232876,0.6842238019949984,0.6932908594383423,0.3150684931506849,0.9075865810651957,42,39,3,0.2876712328767123,0.2671232876712329,0.02054794520547945
10,1.3660128088667989,2.3967016845533293,9,0,0.8603515625,0.8545080122844443,0.8597268893337848,0.1591796875,0.9479458594502842,143,125,18,0.1396484375,0.1220703125,0.017578125,0.7602739726027398,0.740250626566416,0.7537782813197376,0.2876712328767123,0.8977495564478476,35,30,5,0.23972602739726026,0.2054794520547945,0.03424657534246575
11,1.3054295699112117,2.392908403318222,9,1,0.87109375,0.8591084595751539,0.8704016124215848,0.1533203125,0.947215721147034,132,109,23,0.12890625,0.1064453125,0.0224609375,0.7397260273972602,0.7328920580564526,0.738988866380634,0.3082191780821918,0.8904817469578263,38,33,5,0.2602739726027397,0.22602739726027396,0.03424657534246575
12,1.1470308490097523,2.224164415712226,9,2,0.8818359375,0.8736846689545731,0.8819592682378322,0.1318359375,0.9586626020835066,121,108,13,0.1181640625,0.10546875,0.0126953125,0.8013698630136986,0.7762346061043498,0.7956094472390979,0.22602739726027396,0.9270050926679534,29,26,3,0.19863013698630136,0.1780821917808219,0.02054794520547945
13,1.0204112916253507,2.257935729745316,12,0,0.912109375,0.9025176441856404,0.9119269727106869,0.10546875,0.9632342381157547,90,73,17,0.087890625,0.0712890625,0.0166015625,0.773972602739726,0.7696730046094266,0.7788207072081912,0.2465753424657534,0.9216432474629196,33,31,2,0.22602739726027396,0.21232876712328766,0.0136986301369863
14,1.1190683087334037,2.5154941473921686,12,1,0.890625,0.8812407113043644,0.8912096699031408,0.12890625,0.9553452783668414,112,95,17,0.109375,0.0927734375,0.0166015625,0.7534246575342466,0.7382501393201178,0.7533417587534865,0.3082191780821918,0.8825175171457575,36,28,8,0.2465753424657534,0.1917808219178082,0.0547945205479452
15,1.120916253887117,2.3000381858381505,12,2,0.8857421875,0.8831956232380097,0.8853269730495492,0.130859375,0.9575085480850531,117,101,16,0.1142578125,0.0986328125,0.015625,0.773972602739726,0.7516207346040791,0.7660052608255068,0.273972602739726,0.9021312005917433,33,28,5,0.22602739726027396,0.1917808219178082,0.03424657534246575
16,0.9586293513420969,2.3080855967247325,12,3,0.896484375,0.8883092215633935,0.8964961662338858,0.1220703125,0.9587394834034847,106,88,18,0.103515625,0.0859375,0.017578125,0.7671232876712328,0.7757609710550886,0.7698860366064234,0.2534246575342466,0.9207038887681946,34,32,2,0.2328767123287671,0.2191780821917808,0.0136986301369863
17,0.9932908704504371,2.044200404049599,12,4,0.90234375,0.895052093953504,0.9021560419147078,0.115234375,0.9599536181554027,100,85,15,0.09765625,0.0830078125,0.0146484375,0.815068493150685,0.7845657370360257,0.8083621313526889,0.19863013698630136,0.9410728700374257,27,25,2,0.18493150684931506,0.17123287671232876,0.0136986301369863
18,0.8451505717821419,2.39524293435763,17,0,0.921875,0.918883366299354,0.922007214311606,0.0927734375,0.9676452578415475,80,67,13,0.078125,0.0654296875,0.0126953125,0.821917808219178,0.8122512720799134,0.8166992297037065,0.2191780821917808,0.919333302638243,26,22,4,0.1780821917808219,0.1506849315068493,0.0273972602739726
