epoch,train_loss,val_loss,best_epoch_so_far,epochs_without_improvement,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_qwk,train_total_errors,train_adjacent_errors,train_distant_errors,train_total_error_rate,train_adjacent_error_rate,train_distant_error_rate,val_accuracy,val_macro_f1,val_weighted_f1,val_mae,val_qwk,val_total_errors,val_adjacent_errors,val_distant_errors,val_total_error_rate,val_adjacent_error_rate,val_distant_error_rate
1,1.5765341334044933,1.1821688625910511,0,0,0.4697265625,0.4216190610515014,0.45949482037828715,0.921875,0.4764744058554681,543,290,253,0.5302734375,0.283203125,0.2470703125,0.6095890410958904,0.50345740167412,0.5605413008750725,0.5958904109589042,0.7040085463859955,57,37,20,0.3904109589041096,0.2534246575342466,0.136986301369863
2,0.9528278205543756,0.8245653608073927,1,0,0.6748046875,0.6037747927973489,0.6482906982609707,0.4375,0.829886472686451,333,244,89,0.3251953125,0.23828125,0.0869140625,0.7328767123287672,0.6778148215808063,0.7065673053021089,0.3698630136986301,0.8445226409852764,39,28,11,0.2671232876712329,0.1917808219178082,0.07534246575342465
3,0.691859713755548,0.7783585419393566,2,0,0.755859375,0.7125896586677483,0.7430487745154251,0.326171875,0.8696248951626186,250,183,67,0.244140625,0.1787109375,0.0654296875,0.7191780821917808,0.6890459260391977,0.7131267454083912,0.3767123287671233,0.8418721250030423,41,30,11,0.2808219178082192,0.2054794520547945,0.07534246575342465
4,0.5957598257809877,1.0667841983576343,2,1,0.7998046875,0.7689484697297735,0.7922688809925729,0.2578125,0.9014523355331487,205,157,48,0.2001953125,0.1533203125,0.046875,0.6506849315068494,0.6342993923952134,0.6451485458286867,0.5136986301369864,0.780909398623491,51,32,19,0.3493150684931507,0.2191780821917808,0.13013698630136986
5,0.5527326744049788,0.7583504206921956,2,2,0.8193359375,0.798271184451927,0.8134777435965962,0.2333984375,0.91025671978499,185,139,46,0.1806640625,0.1357421875,0.044921875,0.726027397260274,0.7018839455308742,0.7214457680184105,0.363013698630137,0.8549370731595898,40,31,9,0.273972602739726,0.21232876712328766,0.06164383561643835
6,0.44929576478898525,0.6203125878556134,5,0,0.8466796875,0.8295061910269134,0.8433166664623681,0.197265625,0.9234182333312103,157,121,36,0.1533203125,0.1181640625,0.03515625,0.7671232876712328,0.7522245132351213,0.7687773355974222,0.3013698630136986,0.8764447023550461,34,27,7,0.2328767123287671,0.18493150684931506,0.04794520547945205
7,0.3693843516521156,0.6160134732314985,6,0,0.8837890625,0.8763614235275053,0.8827925286467802,0.146484375,0.9465141742854821,119,90,29,0.1162109375,0.087890625,0.0283203125,0.7945205479452054,0.783552471206915,0.7906118982563206,0.2808219178082192,0.8828686370718322,30,22,8,0.2054794520547945,0.1506849315068493,0.0547945205479452
8,0.3188996585085988,0.7288060449574092,7,0,0.90625,0.90250119238956,0.9049345041203649,0.11328125,0.9603205356727684,96,78,18,0.09375,0.076171875,0.017578125,0.7671232876712328,0.7537607207648305,0.7578612516191837,0.2945205479452055,0.8916542984358945,34,27,7,0.2328767123287671,0.18493150684931506,0.04794520547945205
9,0.2508020338136703,0.5909573697064021,8,0,0.93359375,0.9288524221593211,0.9330970826406682,0.0888671875,0.9644870420581373,68,48,20,0.06640625,0.046875,0.01953125,0.8424657534246576,0.8269753023160483,0.83776151706924,0.2054794520547945,0.9173194903256253,23,18,5,0.15753424657534246,0.1232876712328767,0.03424657534246575
10,0.25917650992050767,0.8462827242400548,9,0,0.921875,0.9172732672970524,0.9214983727466158,0.1044921875,0.9585083906181913,80,56,24,0.078125,0.0546875,0.0234375,0.7671232876712328,0.7695687293269609,0.75561288618909,0.3082191780821918,0.8762404213476797,34,26,8,0.2328767123287671,0.1780821917808219,0.0547945205479452
11,0.22248464811127633,0.6326780547834423,9,1,0.9326171875,0.9316227484480131,0.9319653553221513,0.0908203125,0.9628210539038186,69,49,20,0.0673828125,0.0478515625,0.01953125,0.8493150684931506,0.8366576147886097,0.8523650861202526,0.18493150684931506,0.9307181271749446,22,18,4,0.1506849315068493,0.1232876712328767,0.0273972602739726
12,0.22115966631099582,0.7966650832597524,11,0,0.931640625,0.9319589579752694,0.9320821577986514,0.091796875,0.9621329409885274,70,50,20,0.068359375,0.048828125,0.01953125,0.7602739726027398,0.744721293913768,0.760377883347084,0.3082191780821918,0.8841296496514918,35,27,8,0.23972602739726026,0.18493150684931506,0.0547945205479452
13,0.19134739437140524,0.7339417464929084,11,1,0.94140625,0.9336362419825008,0.9414160022865478,0.0751953125,0.9711011880513621,60,45,15,0.05859375,0.0439453125,0.0146484375,0.773972602739726,0.7626981797424408,0.7663919878098423,0.2808219178082192,0.8983913291500285,33,27,6,0.22602739726027396,0.18493150684931506,0.0410958904109589
14,0.16849160892888904,0.9306890205161212,11,2,0.947265625,0.9477688086463789,0.9472457944876871,0.0703125,0.9715635931364429,54,39,15,0.052734375,0.0380859375,0.0146484375,0.726027397260274,0.7396726400214773,0.7297020919153764,0.3356164383561644,0.8749788937935692,40,33,7,0.273972602739726,0.22602739726027396,0.04794520547945205
15,0.15724175330251455,0.6405870339845958,11,3,0.9580078125,0.9548346977569956,0.9578741043529702,0.0615234375,0.972269200329069,43,27,16,0.0419921875,0.0263671875,0.015625,0.8082191780821918,0.7924687854890591,0.8016869994595083,0.2465753424657534,0.9052387575336115,28,22,6,0.1917808219178082,0.1506849315068493,0.0410958904109589
16,0.13914931379258633,0.7163262906139845,11,4,0.9580078125,0.9529126866514701,0.9579469188996158,0.0546875,0.9784516002740531,43,32,11,0.0419921875,0.03125,0.0107421875,0.7808219178082192,0.7794365999719602,0.7877070645796482,0.273972602739726,0.8922721235673177,32,26,6,0.2191780821917808,0.1780821917808219,0.0410958904109589
