epoch,train_loss,val_loss,best_epoch_so_far,epochs_without_improvement,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_qwk,train_total_errors,train_adjacent_errors,train_distant_errors,train_total_error_rate,train_adjacent_error_rate,train_distant_error_rate,val_accuracy,val_macro_f1,val_weighted_f1,val_mae,val_qwk,val_total_errors,val_adjacent_errors,val_distant_errors,val_total_error_rate,val_adjacent_error_rate,val_distant_error_rate
1,1.3197447881102562,1.069397945926614,0,0,0.4580078125,0.3885174383981154,0.43747823624115084,0.9384765625,0.43983179625577484,555,311,244,0.5419921875,0.3037109375,0.23828125,0.5958904109589042,0.5241324605077141,0.5398998599740493,0.5958904109589042,0.7586900728877939,59,39,20,0.4041095890410959,0.2671232876712329,0.136986301369863
2,0.915027329698205,0.7887991013592237,1,0,0.6630859375,0.6005607387418664,0.6421544593879367,0.4609375,0.8111149424008839,345,250,95,0.3369140625,0.244140625,0.0927734375,0.726027397260274,0.6551042461225527,0.6943420443106972,0.3698630136986301,0.8587573105844071,40,29,11,0.273972602739726,0.19863013698630136,0.07534246575342465
3,0.7072247778996825,0.7567390174898383,2,0,0.740234375,0.6999134288428075,0.7275128706122646,0.33984375,0.8657638778985183,266,203,63,0.259765625,0.1982421875,0.0615234375,0.7465753424657534,0.7065151515151514,0.7347550850975508,0.3561643835616438,0.8523661857894027,37,26,11,0.2534246575342466,0.1780821917808219,0.07534246575342465
4,0.5642278594896197,0.775829478690069,2,1,0.80078125,0.7831299538700717,0.7983050690953373,0.2529296875,0.903057676551387,204,157,47,0.19921875,0.1533203125,0.0458984375,0.6986301369863014,0.633735141547439,0.6673100675859955,0.4246575342465753,0.8031476760149049,44,32,12,0.3013698630136986,0.2191780821917808,0.0821917808219178
5,0.5030468506738544,0.6069860589014341,2,2,0.81640625,0.7999367601025539,0.8130845498210258,0.2314453125,0.9125028683854064,188,148,40,0.18359375,0.14453125,0.0390625,0.7808219178082192,0.7411087711087712,0.7653250119003544,0.2808219178082192,0.8887325595028726,32,26,6,0.2191780821917808,0.1780821917808219,0.0410958904109589
6,0.42480267118662596,0.583240369411364,5,0,0.8544921875,0.8448825733251493,0.8523419418268494,0.189453125,0.9250175546132748,149,113,36,0.1455078125,0.1103515625,0.03515625,0.7876712328767124,0.7492278289007989,0.7728189755602253,0.2808219178082192,0.8879932214257906,31,24,7,0.21232876712328766,0.1643835616438356,0.04794520547945205
7,0.37092590471729636,0.5694141347114354,5,1,0.8662109375,0.8602214567775434,0.8654148306315619,0.1728515625,0.9320932973257625,137,104,33,0.1337890625,0.1015625,0.0322265625,0.815068493150685,0.7671111111111111,0.7955707762557078,0.2876712328767123,0.8477051460361613,27,18,9,0.18493150684931506,0.1232876712328767,0.06164383561643835
8,0.2909708449151367,0.570840888643918,5,2,0.9013671875,0.9002829627488692,0.8999982666992331,0.1240234375,0.9537970804680902,101,79,22,0.0986328125,0.0771484375,0.021484375,0.7876712328767124,0.7656398347050989,0.7805202822158275,0.273972602739726,0.8901532963415781,31,25,6,0.21232876712328766,0.17123287671232876,0.0410958904109589
9,0.28704025596380234,0.6125334546174088,8,0,0.908203125,0.9042529542419073,0.9079874649868755,0.1298828125,0.9427333904462525,94,64,30,0.091796875,0.0625,0.029296875,0.7945205479452054,0.7631902448228689,0.7851843026540625,0.273972602739726,0.8814495174461767,30,25,5,0.2054794520547945,0.17123287671232876,0.03424657534246575
10,0.2662904439494014,0.7357672138573372,8,1,0.908203125,0.9068083246742047,0.9081010982614605,0.126953125,0.9441288746075946,94,67,27,0.091796875,0.0654296875,0.0263671875,0.7602739726027398,0.7268057761205283,0.7521527838805501,0.4041095890410959,0.8138422306054922,35,18,17,0.23972602739726026,0.1232876712328767,0.11643835616438356
