epoch,train_loss,val_loss,best_epoch_so_far,epochs_without_improvement,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_qwk,train_total_errors,train_adjacent_errors,train_distant_errors,train_total_error_rate,train_adjacent_error_rate,train_distant_error_rate,val_accuracy,val_macro_f1,val_weighted_f1,val_mae,val_qwk,val_total_errors,val_adjacent_errors,val_distant_errors,val_total_error_rate,val_adjacent_error_rate,val_distant_error_rate
1,1.4427004233002663,1.0959696247153086,0,0,0.3837890625,0.36145611703640645,0.3773363995975134,1.1513671875,0.4140929344262697,631,304,327,0.6162109375,0.296875,0.3193359375,0.6027397260273972,0.5647897241647242,0.5642169022948134,0.6438356164383562,0.6809525933193596,58,34,24,0.3972602739726027,0.2328767123287671,0.1643835616438356
2,1.0116072036325932,0.9526421819647698,1,0,0.623046875,0.5972801992308447,0.6184006273498066,0.587890625,0.7317741365421497,386,233,153,0.376953125,0.2275390625,0.1494140625,0.5273972602739726,0.46407310227344184,0.4801168298563466,0.678082191780822,0.7093961970421439,69,48,21,0.4726027397260274,0.3287671232876712,0.14383561643835616
3,0.7504465598613024,0.7146522223132931,2,0,0.7109375,0.7058396393880121,0.7100929447942728,0.37890625,0.8533493934766733,296,220,76,0.2890625,0.21484375,0.07421875,0.7123287671232876,0.6717062099931954,0.6965038176963148,0.3972602739726027,0.8233451957295373,42,32,10,0.2876712328767123,0.2191780821917808,0.0684931506849315
4,0.6040000040084124,0.7626497263777746,3,0,0.771484375,0.770510696981446,0.7733465847927624,0.296875,0.884694982973717,234,174,60,0.228515625,0.169921875,0.05859375,0.6712328767123288,0.6566083192170149,0.6564791968008168,0.4178082191780822,0.8300084023526587,48,40,8,0.3287671232876712,0.273972602739726,0.0547945205479452
5,0.48420845065265894,0.5511851253574842,4,0,0.8193359375,0.8159522850647647,0.8188147821271149,0.2421875,0.90151099825913,185,134,51,0.1806640625,0.130859375,0.0498046875,0.7876712328767124,0.7677584848316557,0.7829056168514905,0.2671232876712329,0.8972591302688391,31,25,6,0.21232876712328766,0.17123287671232876,0.0410958904109589
6,0.42727890610694885,0.7635681092330854,5,0,0.841796875,0.846519096175725,0.8428734612592029,0.1953125,0.9283266625919281,162,128,34,0.158203125,0.125,0.033203125,0.726027397260274,0.7168853695324283,0.7245774706088969,0.4041095890410959,0.8247043246033349,40,26,14,0.273972602739726,0.1780821917808219,0.0958904109589041
7,0.395712333265692,0.6104806547295557,5,1,0.8583984375,0.8583364090787532,0.8585678009677621,0.1826171875,0.9286138324302213,145,111,34,0.1416015625,0.1083984375,0.033203125,0.7191780821917808,0.7336023851313527,0.7289849319780605,0.3561643835616438,0.8576581846543824,41,33,8,0.2808219178082192,0.22602739726027396,0.0547945205479452
8,0.3267975519411266,0.4499522843589521,5,2,0.880859375,0.8819156370746157,0.8820675578938793,0.142578125,0.9508023445757663,122,99,23,0.119140625,0.0966796875,0.0224609375,0.821917808219178,0.8070011798541685,0.8262177075034437,0.2054794520547945,0.9270802117670562,26,23,3,0.1780821917808219,0.15753424657534246,0.02054794520547945
9,0.2781307268887758,0.5268537124542341,8,0,0.88671875,0.8962669925691651,0.8867918385092325,0.1416015625,0.9468483616744403,116,92,24,0.11328125,0.08984375,0.0234375,0.8013698630136986,0.8026840685353196,0.8038264160092814,0.23972602739726026,0.9101440880457606,29,25,4,0.19863013698630136,0.17123287671232876,0.0273972602739726
10,0.2709772230591625,0.5864107772095563,8,1,0.8955078125,0.89899919054374,0.8961045972670588,0.1357421875,0.9461224090252796,107,81,26,0.1044921875,0.0791015625,0.025390625,0.8356164383561644,0.8077879995776358,0.8276971777176857,0.1917808219178082,0.928811741186796,24,22,2,0.1643835616438356,0.1506849315068493,0.0136986301369863
11,0.2347411171067506,0.5119549713722648,10,0,0.912109375,0.9142014019799284,0.9126765623173779,0.1279296875,0.9407521210957313,90,60,30,0.087890625,0.05859375,0.029296875,0.8287671232876712,0.821111111111111,0.8230593607305936,0.2054794520547945,0.9281293952180028,25,21,4,0.17123287671232876,0.14383561643835616,0.0273972602739726
12,0.23169854446314275,0.5688354083120006,10,1,0.921875,0.9203317486371019,0.9230278520818394,0.1025390625,0.9595284737258136,80,58,22,0.078125,0.056640625,0.021484375,0.773972602739726,0.7655460131266583,0.7777050059970961,0.2671232876712329,0.9043614968676306,33,29,4,0.22602739726027396,0.19863013698630136,0.0273972602739726
13,0.19866864779032767,0.5500733272670066,10,2,0.931640625,0.9330751058469051,0.9321895330783754,0.099609375,0.9558279706513256,70,43,27,0.068359375,0.0419921875,0.0263671875,0.815068493150685,0.812425746296714,0.8155978957459293,0.19863013698630136,0.9405141121564561,27,25,2,0.18493150684931506,0.17123287671232876,0.0136986301369863
14,0.17343819153029472,0.46018156695039303,13,0,0.9423828125,0.942016135898923,0.9430484269370937,0.0869140625,0.9594927552611949,59,35,24,0.0576171875,0.0341796875,0.0234375,0.815068493150685,0.8013421987788508,0.8127236118805891,0.22602739726027396,0.9150900847437511,27,23,4,0.18493150684931506,0.15753424657534246,0.0273972602739726
15,0.1631597178056836,0.589681716406182,13,1,0.9384765625,0.9400599715423527,0.9387672683582391,0.08984375,0.9583131419154216,63,41,22,0.0615234375,0.0400390625,0.021484375,0.821917808219178,0.814279326839821,0.8207703716414281,0.22602739726027396,0.9086178542500184,26,21,5,0.1780821917808219,0.14383561643835616,0.03424657534246575
16,0.1600265910383314,0.5003142924341437,13,2,0.935546875,0.9396907760497364,0.9357086847067169,0.0888671875,0.961172002743793,66,47,19,0.064453125,0.0458984375,0.0185546875,0.8424657534246576,0.8279316391286425,0.8393161500264785,0.2191780821917808,0.9052255761116521,23,17,6,0.15753424657534246,0.11643835616438356,0.0410958904109589
17,0.1295189583906904,0.5899098070516978,13,3,0.9423828125,0.9476815983279859,0.9427573699466916,0.0712890625,0.97457402944008,59,45,14,0.0576171875,0.0439453125,0.013671875,0.8287671232876712,0.8033772116275102,0.818590701792908,0.2191780821917808,0.9150214192587074,25,20,5,0.17123287671232876,0.136986301369863,0.03424657534246575
18,0.16174785024486482,0.4663635355560747,13,4,0.9404296875,0.9369965674830969,0.9407969835792261,0.0869140625,0.9596487672686652,61,41,20,0.0595703125,0.0400390625,0.01953125,0.8356164383561644,0.8338284205034563,0.8339463762147328,0.18493150684931506,0.9395337829842623,24,22,2,0.1643835616438356,0.1506849315068493,0.0136986301369863
19,0.1484100497327745,0.6113631129264832,13,5,0.9453125,0.9444199934110807,0.9458387870065013,0.07421875,0.968798285792919,56,40,16,0.0546875,0.0390625,0.015625,0.8082191780821918,0.798829940920175,0.7997079667084283,0.23972602739726026,0.9153421106487483,28,22,6,0.1917808219178082,0.1506849315068493,0.0410958904109589
20,0.14065896777901798,0.6623720347064815,13,6,0.955078125,0.9529589408243051,0.9553489423939298,0.0625,0.9723344932673396,46,33,13,0.044921875,0.0322265625,0.0126953125,0.8424657534246576,0.8022496128485239,0.8319868662707337,0.2328767123287671,0.8978514038096957,23,15,8,0.15753424657534246,0.10273972602739725,0.0547945205479452
