Experiment,Accuracy,Macro F1,Weighted F1,MAE,QWK,Adjacent Error Rate,Distant Error Rate
Baseline CNN,0.4592,0.3733,0.4188,1.0204,0.5057,0.5094,0.4906
ResNet18,0.7177,0.701,0.714,0.3912,0.8175,0.747,0.253
ResNet18 (class-weighted),0.6837,0.6854,0.6919,0.4558,0.7921,0.6452,0.3548
ResNet18 (ordinal),0.7109,0.7036,0.7117,0.3878,0.8246,0.7529,0.2471
DenseNet121,0.7585,0.7466,0.7539,0.3197,0.872,0.7465,0.2535
DenseNet121 (class-weighted),0.7449,0.7396,0.7433,0.3299,0.8705,0.76,0.24
DenseNet121 (ordinal),0.7449,0.7395,0.745,0.3333,0.866,0.7467,0.2533
EfficientNet,0.6606,0.6005,0.6317,0.5485,0.7311,0.6071,0.3929
EfficientNet (class-weighted),0.6727,0.6462,0.662,0.5242,0.7468,0.6204,0.3796
EfficientNet (ordinal),0.6727,0.6531,0.6671,0.5061,0.7565,0.6667,0.3333
