sample_index,true_label,true_class,pred_label,pred_class,error_distance,prob_0_Normal,prob_1_Doubtful,prob_2_Mild,prob_3_Moderate,prob_4_Severe,max_probability,is_correct
91,1,Doubtful,1,Doubtful,0,0.2880163788795471,0.3096161782741546,0.1000482514500618,0.0146736865863204,0.287645548582077,0.3096161782741546,True
292,4,Severe,4,Severe,0,0.0567431151866912,0.2847307920455932,0.2300083935260772,0.1099957376718521,0.3185220062732696,0.3185220062732696,True
168,1,Doubtful,0,Normal,1,0.3611582517623901,0.2935555577278137,0.3019801676273346,0.0375678576529026,0.005738141015172,0.3611582517623901,False
238,0,Normal,2,Mild,2,0.2284388542175293,0.0370331071317195,0.3829638063907623,0.018461188301444,0.3331030309200287,0.3829638063907623,False
77,2,Mild,2,Mild,0,0.0808322131633758,0.0504309721291065,0.3969874382019043,0.3611743748188019,0.1105749905109405,0.3969874382019043,True
30,1,Doubtful,1,Doubtful,0,0.03441658988595,0.4203524887561798,0.2472176551818847,0.0453749969601631,0.2526383399963379,0.4203524887561798,True
156,1,Doubtful,1,Doubtful,0,0.040342591702938,0.42278853058815,0.0611718781292438,0.1310485750436782,0.3446484208106994,0.42278853058815,True
203,1,Doubtful,1,Doubtful,0,0.0663469731807708,0.4304041564464569,0.3100236356258392,0.1501305103302002,0.0430947728455066,0.4304041564464569,True
15,0,Normal,0,Normal,0,0.4308556914329529,0.1518038660287857,0.3908064067363739,0.021848440170288,0.0046855909749865,0.4308556914329529,True
146,2,Mild,2,Mild,0,0.0409670434892177,0.2963409721851349,0.4330189824104309,0.0086667388677597,0.2210063636302948,0.4330189824104309,True
