model_variant,base_model,variant,loss,source_file,accuracy,macro_f1,weighted_f1,mae,qwk,total_errors,adjacent_errors,distant_errors,adjacent_error_rate_among_errors,distant_error_rate_among_errors
Baseline CNN,Baseline CNN,standard,CrossEntropyLoss,baseline_test_metrics.csv,0.4591836734693877,0.3733468905799003,0.4187621716227819,1.020408163265306,0.5056712468473932,159,81,78,0.5094339622641509,0.490566037735849
ResNet18,ResNet18,standard,CrossEntropyLoss,resnet18_test_metrics.csv,0.717687074829932,0.7010129318108138,0.7140488528540626,0.391156462585034,0.8175491679273827,83,62,21,0.7469879518072289,0.253012048192771
ResNet18 (class-weighted),ResNet18,class-weighted,Class-weighted CrossEntropyLoss,resnet18_classweighted_test_metrics.csv,0.6836734693877551,0.6853694450753274,0.6919446929350891,0.4557823129251701,0.7920500484753141,93,60,33,0.6451612903225806,0.3548387096774194
ResNet18 (ordinal),ResNet18,ordinal,Ordinal-aware weighted loss,resnet18_ordinal_test_metrics.csv,0.7108843537414966,0.7035871450936735,0.7117420254431581,0.3877551020408163,0.8245945860175812,85,64,21,0.7529411764705882,0.2470588235294117
DenseNet121,DenseNet121,standard,CrossEntropyLoss,densenet121_test_metrics.csv,0.7585034013605442,0.7466371133216555,0.7539156742681602,0.3197278911564626,0.8720218230360719,71,53,18,0.7464788732394366,0.2535211267605634
DenseNet121 (class-weighted),DenseNet121,class-weighted,Class-weighted CrossEntropyLoss,densenet121_classweighted_test_metrics.csv,0.7448979591836735,0.7395570010003001,0.7432974839665352,0.3299319727891156,0.8704707948692171,75,57,18,0.76,0.24
DenseNet121 (ordinal),DenseNet121,ordinal,Ordinal-aware weighted loss,densenet121_ordinal_test_metrics.csv,0.7448979591836735,0.7395238745238746,0.7450383305825482,0.3333333333333333,0.8660150511198393,75,56,19,0.7466666666666667,0.2533333333333333
EfficientNet,EfficientNet,standard,CrossEntropyLoss,efficientnet_test_metrics.csv,0.6606060606060606,0.6005175077688943,0.6316632506395121,0.5484848484848485,0.7310659567532326,112,68,44,0.6071428571428571,0.3928571428571428
EfficientNet (class-weighted),EfficientNet,class-weighted,Class-weighted CrossEntropyLoss,efficientnet_classweighted_test_metrics.csv,0.6727272727272727,0.6462134804783843,0.6620370193709714,0.5242424242424243,0.7468102840289799,108,67,41,0.6203703703703703,0.3796296296296296
EfficientNet (ordinal),EfficientNet,ordinal,Ordinal-aware weighted loss,efficientnet_ordinal_test_metrics.csv,0.6727272727272727,0.6531458391272841,0.6670548497269189,0.5060606060606061,0.7564708187299998,108,72,36,0.6666666666666666,0.3333333333333333
